contact_id,first_name,last_name,email,phone,company,city,created_at,lead_source
HS-100001,Rose,Martin,rose.martin@icloud.com,06 23 37 82 35,BlueWave Energie,Toulon,2024-12-11,site web
HS-100002,Hugo,Lambert,hugo.lambert@allianceretail.com,07 35 69 33 86,Cedre Logistique,Rennes,2025-06-13,publicite
HS-100003,Louise,Laurent,louise.laurent@pixelforge.com,02 66 82 70 51,Pixel Forge,Toulon,2024-04-26,publicite
HS-100004,Tom,Roux,tom.roux@kappasystemes.com,07 22 54 22 36,Meridian Group,Toulouse,2024-11-19,referencement
HS-100005,Nathan,Lefevre,nathan.lefevre64@outlook.fr,04 33 99 40 57,Aurore Finance,Angers,2024-01-18,referencement
HS-100006,Anna,Leroy,anna.leroy@free.fr,06 97 40 83 83,Silva Habitat,Nantes,2024-09-14,partenaire
HS-100007,Enzo,Bernard,enzo.bernard@outlook.fr,07 21 82 67 87,Kappa Systemes,Nimes,2025-01-22,appel entrant
HS-100008,Anna,Michel,anna.michel@free.fr,06 98 92 60 42,Horizon Media,Reims,2023-02-15,appel entrant
HS-100009,Mohamed,Garcia,mohamed.garcia@yahoo.fr,06 65 75 39 79,Kappa Systemes,Metz,2026-06-03,partenaire
HS-100010,Chloe,Lefevre,chloe.lefevre@free.fr,07 27 48 17 44,Atlantique Conseil,Angers,2025-12-11,appel entrant
HS-100011,Ethan,Bonnet,ethan.bonnet@outlook.fr,06 65 27 26 74,NovaBuild,Montpellier,2025-03-21,reseaux sociaux
HS-100012,Arthur,Petit,arthur.petit@hotmail.fr,07 18 58 77 57,Solaris Tech,Paris,2023-02-08,reseaux sociaux
HS-100013,Mathis,Robert,mathis.robert@outlook.fr,06 50 69 16 83,Silva Habitat,Nice,2026-02-12,salon
HS-100014,Hugo,Martinez,hugo.martinez@yahoo.fr,07 97 43 47 53,Cedre Logistique,Dijon,2022-10-20,salon
HS-100015,Mohamed,Simon,mohamed.simon@icloud.com,06 37 64 35 35,Nexora,Saint-Etienne,2022-10-13,salon
HS-100016,Louise,Thomas,louise.thomas21@icloud.com,06 38 63 25 53,Delta Materiaux,Nantes,2025-11-08,site web
